Corso di Laurea,Livello,Dipartimento,Classe,Accesso,Lingua,Sede
BIOTECNOLOGIE MEDICHE,Magistrale,"SCIENZE BIOMEDICHE, ODONTOIATRICHE E DELLE IMMAGINI MORFOLOGICHE E FUNZIONALI","LM-9 R - Biotecnologie mediche, veterinarie e farmaceutiche",Libero,inglese italiano,MESSINA
BIOTECNOLOGIE VETERINARIE,Magistrale,SCIENZE VETERINARIE,"LM-9 R - Biotecnologie mediche, veterinarie e farmaceutiche",Libero,italiano,MESSINA
CHIMICA,Magistrale,"SCIENZE CHIMICHE, BIOLOGICHE, FARMACEUTICHE E AMBIENTALI",LM-54 R - Scienze chimiche,Libero,italiano,MESSINA
CIVILTÀ LETTERARIA DELL'ITALIA MEDIEVALE E MODERNA,Magistrale,CIVILTA' ANTICHE E MODERNE,LM-14 - Classe delle lauree magistrali in Filologia moderna,Libero,italiano,MESSINA
COGNITIVE SCIENCE AND THEORY OF COMMUNICATION,Magistrale,"SCIENZE COGNITIVE, PSICOLOGICHE, PEDAGOGICHE E DEGLI STUDI CULTURALI",LM-55 R - Scienze cognitive,Libero,inglese,MESSINA
COMUNICAZIONE DIGITALE E LINGUAGGI DEL GIORNALISMO,Magistrale,CIVILTA' ANTICHE E MODERNE,LM-19 R - Informazione e sistemi editoriali,Libero,italiano,MESSINA
CONSULENZA E GESTIONE DI IMPRESA,Magistrale,ECONOMIA,LM-77 R - Scienze economico-aziendali,Libero,inglese italiano,MESSINA
DATA SCIENCE,Magistrale,"SCIENZE MATEMATICHE E INFORMATICHE, SCIENZE FISICHE  E SCIENZE DELLA TERRA",LM Data - Data science,Libero,inglese,MESSINA
DIGITAL TRANSFORMATION E INNOVATION MANAGEMENT,Magistrale,ECONOMIA,LM-77 R - Scienze economico-aziendali,Libero,inglese italiano,MESSINA
DIRITTO DELL'INNOVAZIONE E DELLA SOSTENIBILITA',Magistrale,GIURISPRUDENZA,LM/SC-GI R - Scienze Giuridiche,Libero,italiano,MESSINA
ENGINEERING IN COMPUTER SCIENCE,Magistrale,INGEGNERIA,LM-32 - Classe delle lauree magistrali in Ingegneria informatica,Libero,inglese,MESSINA
FILOSOFIA CONTEMPORANEA,Magistrale,CIVILTA' ANTICHE E MODERNE,LM-78 R - Scienze filosofiche,Libero,italiano,MESSINA
GEOPHYSICAL SCIENCES FOR SEISMIC RISK,Magistrale,"SCIENZE MATEMATICHE E INFORMATICHE, SCIENZE FISICHE  E SCIENZE DELLA TERRA",LM-79 R - Scienze geofisiche,Libero,inglese,MESSINA
INGEGNERIA CIVILE,Magistrale,INGEGNERIA,LM-23 R - Ingegneria civile,Libero,inglese italiano,MESSINA
INGEGNERIA ELETTRONICA PER L'INDUSTRIA,Magistrale,INGEGNERIA,LM-29 - Classe delle lauree magistrali in Ingegneria elettronica,Libero,inglese italiano,MESSINA
INGEGNERIA GESTIONALE,Magistrale,INGEGNERIA,LM-31 - Classe delle lauree magistrali in Ingegneria gestionale,Libero,italiano,MESSINA
INGEGNERIA MECCANICA,Magistrale,INGEGNERIA,LM-33 - Classe delle lauree magistrali in Ingegneria meccanica,Libero,italiano,MESSINA
MATEMATICA,Magistrale,"SCIENZE MATEMATICHE E INFORMATICHE, SCIENZE FISICHE  E SCIENZE DELLA TERRA",LM-40 R - Matematica,Libero,italiano,MESSINA
METODI QUANTITATIVI PER L'ECONOMIA E LA FINANZA,Magistrale,ECONOMIA,LM-56 R - Scienze dell'economia,Libero,inglese italiano,MESSINA
PHYSICS,Magistrale,"SCIENZE MATEMATICHE E INFORMATICHE, SCIENZE FISICHE  E SCIENZE DELLA TERRA",LM-17 R - Fisica,Libero,inglese italiano,MESSINA
PSICOLOGIA CLINICA E DELLA SALUTE NEL CICLO DI VITA (ABILITANTE ALLA PROFESSIONE DI PSICOLOGO),Magistrale,MEDICINA CLINICA E SPERIMENTALE,LM-51 R - Psicologia,Libero,italiano,MESSINA
PSICOLOGIA E NEUROSCIENZE COGNITIVE,Magistrale,"SCIENZE COGNITIVE, PSICOLOGICHE, PEDAGOGICHE E DEGLI STUDI CULTURALI",LM-51 R - Psicologia,Libero,italiano,NOTO
